station	x(km)	y(km)	z(km)	lat	lng	elv(m)	type	component	response
CI.BOM..HH	33.400	98.369	0.054	33.365	-115.730	-54.000	m/s	E,N,Z	624237338.47,624237338.47,624237338.47
CI.COA..HH	100.810	42.633	-0.036	32.863	-115.123	36.000	m/s	E,N,Z	626910098.14,626910098.14,626838115.86
CI.CRR..HH	6.763	45.236	-0.066	32.887	-115.969	66.000	m/s	E,N,Z	629145000.00,629145000.00,629145000.00
CI.DRE..HH	64.850	36.174	0.013	32.805	-115.447	-13.000	m/s	E,N,Z	630822720.00,631661580.00,629983860.00
CI.ERR..HH	23.047	70.778	0.056	33.117	-115.823	-56.000	m/s	E,N,Z	630822720.00,631661580.00,627467280.00
CI.FRK..HH	43.549	102.532	-0.060	33.402	-115.638	60.000	m/s	E,N,Z	314573000.00,314573000.00,314573000.00
CI.IMP..HH	52.183	46.865	0.027	32.901	-115.561	-27.000	m/s	E,N,Z	631661580.00,626628420.00,628306140.00
CI.RXH..HH	45.304	78.184	0.059	33.183	-115.623	-59.000	m/s	E,N,Z	626628420.00,624950700.00,620756400.00
CI.SAL..HH	4.909	88.967	-0.014	33.280	-115.986	14.000	m/s	E,N,Z	629145000.00,629145000.00,629145000.00
CI.SGL..HH	33.761	18.829	-0.075	32.649	-115.726	75.000	m/s	E,N,Z	629145000.00,629145000.00,629145000.00
CI.SLV..HH	80.687	84.346	-0.255	33.239	-115.304	254.600	m/s	E,N,Z	314572500.00,314572500.00,314572500.00
CI.SNR..HH	66.054	42.464	0.063	32.862	-115.436	-63.000	m/s	E,N,Z	624237000.00,624237000.00,624237000.00
CI.SWS..HH	25.588	51.715	-0.140	32.945	-115.800	140.000	m/s	E,N,Z	631622000.00,628946000.00,634048000.00
CI.WES..HH	33.179	31.028	0.008	32.759	-115.732	-8.000	m/s	E,N,Z	627367895.88,627367895.88,627367895.88
CI.WMD..HH	49.825	62.076	0.045	33.038	-115.582	-45.000	m/s	E,N,Z	627467280.00,621595260.00,620756400.00
CI.YUH2..HH	11.979	18.627	-0.184	32.648	-115.922	184.000	m/s	E,N,Z	629145000.00,629145000.00,629145000.00
